Data,Type,data_type,data_shape,data_size
AwakeEventData,Group,,,
AwakeEventData/AIRTR01,Group,,,
AwakeEventData/AIRTR01/Acq,Group,,,
AwakeEventData/AIRTR01/Acq/numericPosition,Dataset,float32,"(1,)",1
AwakeEventData/AIRTR02,Group,,,
AwakeEventData/AIRTR02/Acq,Group,,,
AwakeEventData/AIRTR02/Acq/numericPosition,Dataset,float32,"(1,)",1
AwakeEventData/AWAKEInjPhaseShifter,Group,,,
AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback,Group,,,
AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback/phaseACurrentValue,Dataset,float32,"(1,)",1
AwakeEventData/BLMITT41,Group,,,
AwakeEventData/BLMITT41/Acquisition,Group,,,
AwakeEventData/BLMITT41/Acquisition/acqDesc,Dataset,|S1,"(1,)",1
AwakeEventData/BLMITT41/Acquisition/acqMsg,Dataset,|S1,"(1,)",1
AwakeEventData/BLMITT41/Acquisition/acqState,Dataset,int32,"(1,)",1
AwakeEventData/BLMITT41/Acquisition/acqTime,Dataset,int32,"(1,)",1
AwakeEventData/BLMITT41/Acquisition/alarmStatus,Dataset,int16,"(40,)",40
AwakeEventData/BLMITT41/Acquisition/blrSignalStatus,Dataset,int16,"(40,)",40
AwakeEventData/BLMITT41/Acquisition/calLosses,Dataset,float32,"(40,)",40
AwakeEventData/BLMITT41/Acquisition/calLosses_unit,Dataset,|S4,"(1,)",1
AwakeEventData/BLMITT41/Acquisition/calLosses_unitExponent,Dataset,int32,"(1,)",1
AwakeEventData/BLMITT41/Acquisition/calThresholds,Dataset,float32,"(40,)",40
AwakeEventData/BLMITT41/Acquisition/channelNames,Dataset,|S15,"(15,)",15
AwakeEventData/BLMITT41/Acquisition/deviceName,Dataset,|S5,"(1,)",1
AwakeEventData/BLMITT41/Acquisition/enableExtFlagBIC,Dataset,int32,"(2,)",2
AwakeEventData/BLMITT41/Acquisition/measStamp,Dataset,int32,"(1,)",1
AwakeEventData/BLMITT41/Acquisition/nbOfChannels,Dataset,int32,"(1,)",1
AwakeEventData/BLMITT41/Acquisition/nbOfMeas,Dataset,int32,"(1,)",1
AwakeEventData/BLMITT41/Acquisition/normLosses,Dataset,float32,"(40,)",40
AwakeEventData/BLMITT41/Acquisition/observables,Dataset,int32,"(1,)",1
AwakeEventData/BLMITT41/Acquisition/rawLosses,Dataset,int16,"(40,)",40
AwakeEventData/BLMITT41/Acquisition/superCycleNb,Dataset,int32,"(1,)",1
AwakeEventData/BLMITT41/Acquisition/totalGains,Dataset,int32,"(5,)",5
AwakeEventData/BOVWA.01TCC4.AWAKECAM01,Group,,,
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,Group,,,
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamIntensity,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamSize,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogX,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogY,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/height,Dataset,int32,"(1,)",1
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAmp,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjSigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjection,Dataset,float64,"(2048,)",2048
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageRawData,Dataset,int16,"(1080, 2048)",2211840
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageTimeStamp,Dataset,int64,"(1,)",1
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityHistogram,Dataset,int32,"(1000,)",1000
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityRMS,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensitySigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/pixelSize,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjAmp,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjSigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjection,Dataset,float64,"(1080,)",1080
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/width,Dataset,int32,"(1,)",1
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings,Group,,,
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/delayTime,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/exposureTime,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/gain,Dataset,int64,"(1,)",1
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/triggerMode,Dataset,|S2,"(1,)",1
AwakeEventData/BOVWA.01TCV4.CAM8,Group,,,
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,Group,,,
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/beamIntensity,Dataset,float64,"(1,)",1
